customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00038,Male,0,No,Yes,14,Yes,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,34.88,604.44,No
CUST-00039,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,97.59,806.14,Yes
CUST-00040,Male,0,Yes,No,53,Yes,No,DSL,Yes,Yes,One year,Yes,Mailed check,64.68,3480.11,No
CUST-00041,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),64.75,167.24,No
CUST-00042,Female,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),115.5,6915.73,No
CUST-00043,Male,0,No,No,71,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),111.96,7987.96,No
CUST-00044,Male,0,No,No,44,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),51.12,2256.28,No
CUST-00045,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,40.91,350.3,No
CUST-00046,Male,0,Yes,Yes,47,Yes,Yes,DSL,No,No,One year,Yes,Mailed check,104.85,4961.98,No
CUST-00047,Female,0,Yes,Yes,35,Yes,No,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),110.6,3920.01,No
CUST-00048,Male,0,No,No,36,Yes,No,Fiber optic,Yes,No,Two year,No,Mailed check,74.16,2674.1,No
CUST-00049,Male,1,No,Yes,50,Yes,Yes,DSL,No,Yes,One year,No,Credit card (automatic),82.94,4235.87,No
CUST-00050,Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.69,171.97,No
CUST-00051,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,100.08,294.35,Yes
CUST-00052,Female,1,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),83.21,442.87,Yes
CUST-00053,Female,0,No,Yes,54,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,70.35,3749.65,No
CUST-00054,Male,1,No,Yes,4,Yes,No,DSL,Yes,No,One year,Yes,Credit card (automatic),26.01,57.71,No
CUST-00055,Male,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Credit card (automatic),111.59,6073.7,No
CUST-00056,Female,0,No,Yes,63,No,No phone service,No,No internet service,No internet service,Two year,No,Credit card (automatic),81.55,5097.38,No
CUST-00057,Female,1,No,No,18,No,No phone service,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),39.27,781.37,No
CUST-00058,Male,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),80.64,3521.84,No
CUST-00059,Male,0,No,Yes,34,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),87.75,3003.46,No
CUST-00060,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,One year,No,Credit card (automatic),72.58,4531.96,No
CUST-00061,Male,0,No,Yes,14,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,91.81,1234.55,Yes
CUST-00062,Female,0,Yes,No,48,Yes,No,DSL,No,No,One year,Yes,Mailed check,78.15,3681.66,No
CUST-00063,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),114.78,1735.84,Yes
CUST-00064,Male,0,No,Yes,62,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.37,1559.08,No
CUST-00065,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,One year,Yes,Mailed check,30.62,1249.72,No
CUST-00066,Male,0,No,Yes,53,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.37,1913.33,No
CUST-00067,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,89.02,2118.64,No
CUST-00068,Female,0,Yes,Yes,26,Yes,No,DSL,No,No,Month-to-month,No,Bank transfer (automatic),84.56,2189.47,Yes
CUST-00069,Male,0,No,Yes,60,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.21,6430.73,No
CUST-00070,Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.29,3874.66,Yes
CUST-00071,Male,0,No,Yes,29,Yes,No,DSL,Yes,Yes,Month-to-month,No,Mailed check,70.84,2016.49,No
CUST-00072,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,119.18,1862.66,No
CUST-00073,Female,0,No,Yes,45,No,No phone service,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),46.61,2062.81,No
CUST-00074,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),103.32,6689.73,No
CUST-00075,Male,1,Yes,No,71,Yes,Yes,DSL,No,Yes,One year,Yes,Credit card (automatic),62.68,4388.18,No
CUST-00076,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),84.87,821.16,No
CUST-00077,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,One year,No,Credit card (automatic),92.73,115.44,No
CUST-00078,Male,0,Yes,Yes,8,Yes,No,DSL,Yes,No,Month-to-month,No,Credit card (automatic),83.38,737.05,No
CUST-00079,Male,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),34.05,2134.78,No
CUST-00080,Male,0,Yes,No,11,Yes,No,DSL,Yes,No,Month-to-month,No,Bank transfer (automatic),64.3,705.21,No
CUST-00081,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),76.14,525.02,No
CUST-00082,Male,0,No,Yes,35,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.9,3640.3,Yes
CUST-00083,Male,1,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),64.36,2261.12,No
CUST-00084,Female,0,No,No,33,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.87,3711.07,No
CUST-00085,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,Two year,Yes,Bank transfer (automatic),64.04,411.4,Yes
CUST-00086,Female,0,No,Yes,41,Yes,No,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),74.88,2977.53,Yes
CUST-00087,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,Two year,No,Credit card (automatic),99.63,2801.11,No
CUST-00088,Male,0,No,No,7,No,No phone service,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),78.31,529.36,No
CUST-00089,Female,0,Yes,Yes,12,No,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,116.02,1396.02,Yes
CUST-00090,Male,0,Yes,Yes,34,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Electronic check,86.03,2930.16,No
CUST-00091,Male,1,No,Yes,33,Yes,No,DSL,No,No,Two year,No,Credit card (automatic),72.27,2375.35,No
CUST-00092,Female,0,Yes,No,48,Yes,Yes,DSL,No,No,Two year,No,Credit card (automatic),22.36,1016.62,No
CUST-00093,Male,0,Yes,No,23,Yes,No,DSL,No,No,Two year,No,Electronic check,61.37,1345.57,No
CUST-00094,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Mailed check,49.92,3081.79,No
CUST-00095,Female,0,No,Yes,37,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer (automatic),94.81,3436.94,No
CUST-00096,Female,0,No,Yes,44,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,40.83,1790.87,No
CUST-00097,Female,0,No,Yes,35,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),40.52,1405.53,Yes
CUST-00098,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,38.95,2409.25,No
CUST-00099,Male,0,No,No,47,Yes,Yes,DSL,Yes,No,Month-to-month,No,Mailed check,32.56,1627.0,No
CUST-00100,Female,0,No,No,3,Yes,Yes,DSL,No,Yes,Month-to-month,No,Electronic check,51.1,157.16,No
CUST-00101,Female,1,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,Mailed check,108.59,0.0,Yes
CUST-00102,Female,1,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,97.49,499.81,Yes
CUST-00103,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No,Two year,No,Electronic check,93.53,1299.25,No
CUST-00104,Female,0,No,Yes,27,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,99.73,2626.82,No
CUST-00105,Female,1,Yes,No,9,No,No phone service,DSL,Yes,No,Month-to-month,No,Electronic check,46.94,437.93,No
CUST-00106,Female,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),108.74,1583.99,No
CUST-00107,Male,0,No,Yes,42,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,33.73,1426.31,No
CUST-00108,Female,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,One year,Yes,Credit card (automatic),53.63,2700.05,No
CUST-00109,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Credit card (automatic),78.67,4910.93,No
CUST-00110,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,30.29,1574.3,No
CUST-00111,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,93.01,290.94,No
CUST-00112,Male,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,58.72,1346.43,No
CUST-00113,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),98.44,1509.46,Yes
CUST-00114,Male,0,No,No,43,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),69.29,3043.0,No
CUST-00115,Male,1,No,No,29,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,38.09,1159.04,Yes
CUST-00116,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.48,3432.95,No
CUST-00117,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,45.21,564.99,No
CUST-00118,Female,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,69.08,2159.33,No
CUST-00119,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Credit card (automatic),27.55,1996.82,No
CUST-00120,Male,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,One year,No,Mailed check,81.79,4799.77,No
CUST-00121,Female,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,One year,No,Bank transfer (automatic),86.59,2424.83,No
CUST-00122,Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),57.87,3856.76,No
CUST-00123,Male,0,No,Yes,42,Yes,Yes,DSL,Yes,Yes,One year,Yes,Bank transfer (automatic),115.44,4949.53,No
CUST-00124,Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),107.42,4860.34,No
CUST-00125,Female,0,No,No,62,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,90.79,5639.24,Yes
CUST-00126,Male,0,No,Yes,57,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,91.37,5152.03,No
CUST-00127,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,45.24,329.91,No
CUST-00128,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),85.68,2419.47,No
CUST-00129,Female,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,39.82,1097.6,No
CUST-00130,Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,One year,No,Electronic check,34.4,1491.08,No
CUST-00131,Male,0,Yes,Yes,30,Yes,No,DSL,Yes,No,Month-to-month,No,Credit card (automatic),119.95,3578.16,Yes
CUST-00132,Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),82.24,5101.08,No
CUST-00133,Male,1,Yes,No,62,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,63.1,3839.25,Yes
CUST-00134,Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),48.82,109.72,No
CUST-00135,Female,0,Yes,Yes,27,No,No phone service,DSL,Yes,No,Two year,No,Credit card (automatic),80.39,2222.26,No
CUST-00136,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,24.96,1539.15,No
CUST-00137,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,29.47,68.18,No
CUST-00138,Female,1,Yes,Yes,70,Yes,No,DSL,No,Yes,Two year,No,Bank transfer (automatic),23.29,1629.14,No
CUST-00139,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,69.92,1895.17,No
CUST-00140,Male,1,Yes,Yes,9,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Credit card (automatic),80.06,705.54,No
CUST-00141,Male,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.25,1677.45,No
CUST-00142,Male,0,No,No,37,Yes,Yes,DSL,No,Yes,One year,Yes,Credit card (automatic),92.12,3337.23,No
CUST-00143,Female,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,43.04,2159.44,No
CUST-00144,Male,0,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.52,3933.64,Yes
CUST-00145,Female,1,Yes,Yes,24,No,No phone service,Fiber optic,Yes,Yes,One year,Yes,Credit card (automatic),118.19,2852.77,No
CUST-00146,Female,0,No,No,59,No,No phone service,DSL,Yes,No,Two year,No,Credit card (automatic),89.11,5223.51,No
CUST-00147,Male,0,No,Yes,32,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,108.32,3486.26,No
CUST-00148,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),114.82,5930.99,No
CUST-00149,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,Two year,No,Credit card (automatic),68.68,4242.65,No
CUST-00150,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,One year,No,Electronic check,90.23,5285.53,No
CUST-00151,Male,0,No,Yes,52,No,No phone service,No,No internet service,No internet service,Two year,No,Mailed check,105.2,5517.05,No
CUST-00152,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,55.66,682.33,Yes
CUST-00153,Female,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),46.14,1746.9,No
CUST-00154,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,114.66,210.44,Yes
CUST-00155,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,92.63,282.71,No
CUST-00156,Male,0,Yes,Yes,56,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),41.97,2423.09,No
CUST-00157,Male,1,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Two year,No,Bank transfer (automatic),64.91,3740.57,No
CUST-00158,Male,1,No,No,2,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),99.65,155.69,Yes
CUST-00159,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.71,205.85,No
CUST-00160,Female,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,One year,No,Electronic check,85.0,4658.01,No
CUST-00161,Female,1,Yes,No,1,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,95.38,91.89,No
CUST-00162,Male,0,No,Yes,19,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.2,1638.72,No
CUST-00163,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,Month-to-month,Yes,Credit card (automatic),74.01,111.35,No
CUST-00164,Female,1,Yes,No,53,Yes,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,94.96,4957.42,No
CUST-00165,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.76,4120.95,No
CUST-00166,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,82.99,2720.42,No
CUST-00167,Male,0,No,Yes,70,No,No phone service,DSL,No,Yes,Two year,Yes,Mailed check,55.98,3982.5,No
CUST-00168,Female,0,No,Yes,32,Yes,No,DSL,Yes,No,Two year,Yes,Electronic check,60.58,1895.39,No
CUST-00169,Male,0,Yes,No,68,Yes,No,DSL,Yes,Yes,Two year,No,Credit card (automatic),117.04,7968.69,No
CUST-00170,Female,0,Yes,Yes,55,No,No phone service,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),31.24,1760.19,No
CUST-00171,Male,0,Yes,Yes,56,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,46.85,2638.65,No
CUST-00172,Male,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,One year,No,Mailed check,69.24,1249.4,No
CUST-00173,Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.67,3919.21,No
CUST-00174,Male,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),36.37,869.35,No
CUST-00175,Female,0,No,Yes,69,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card (automatic),47.7,3303.11,Yes
CUST-00176,Female,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,26.58,1902.23,No
CUST-00177,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,90.6,986.88,No
CUST-00178,Female,0,No,No,16,No,No phone service,No,No internet service,No internet service,Two year,Yes,Mailed check,43.82,747.49,No
CUST-00179,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,Two year,No,Mailed check,58.87,3553.56,No
CUST-00180,Male,0,No,Yes,70,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,64.37,4480.0,Yes
CUST-00181,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,109.13,319.16,No
CUST-00182,Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.13,1270.99,No
CUST-00183,Female,0,Yes,No,59,Yes,Yes,DSL,No,Yes,Two year,No,Mailed check,34.52,2133.06,No
CUST-00184,Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,72.43,2639.28,No
CUST-00185,Male,1,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),116.3,2170.39,No
CUST-00186,Male,1,Yes,Yes,67,Yes,Yes,DSL,Yes,No,One year,No,Credit card (automatic),80.77,5421.5,No
CUST-00187,Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,118.34,2296.47,No
CUST-00188,Female,1,No,No,20,Yes,No,Fiber optic,No,No,Two year,Yes,Mailed check,104.11,2041.57,No
CUST-00189,Male,0,No,Yes,71,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,23.6,1621.68,No
CUST-00190,Male,1,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,One year,No,Electronic check,85.84,4446.43,No
CUST-00191,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,One year,Yes,Electronic check,48.68,1639.42,No
CUST-00192,Male,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,75.96,2969.94,No
CUST-00193,Male,0,No,No,39,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,47.93,1834.62,Yes
CUST-00194,Female,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,Two year,Yes,Mailed check,54.89,68.57,No
CUST-00195,Male,0,No,Yes,11,Yes,No,DSL,Yes,No,Month-to-month,No,Electronic check,112.32,1290.05,No
CUST-00196,Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Credit card (automatic),40.66,2332.13,No
CUST-00197,Female,0,Yes,No,50,Yes,No,Fiber optic,Yes,No,One year,No,Bank transfer (automatic),107.41,5389.23,No
CUST-00198,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),23.05,580.4,No
CUST-00199,Female,0,Yes,No,31,Yes,Yes,DSL,No,Yes,Two year,Yes,Electronic check,29.09,981.65,No
CUST-00200,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,Two year,Yes,Credit card (automatic),105.47,4504.02,No
CUST-00201,Female,1,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,One year,No,Credit card (automatic),83.06,479.35,No
CUST-00202,Female,0,Yes,Yes,16,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.72,1520.42,Yes
CUST-00203,Male,0,No,Yes,60,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Electronic check,40.94,2502.03,No
CUST-00204,Male,1,No,No,2,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),73.71,232.41,Yes
CUST-00205,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),93.72,125.77,No
CUST-00206,Female,0,No,Yes,48,Yes,Yes,No,No internet service,No internet service,One year,No,Electronic check,82.73,3928.08,No
